dataset,config,features,time,n_features,mlp_f1,mlp_time,lgbm_f1,lgbm_time
adult,0,"['num_1', 'cat_4', 'cat_2', 'num_3', 'num_0', 'cat_1', 'num_2', 'cat_3', 'num_5', 'num_4', 'cat_0', 'cat_7']",56.696356534957886,12,0.5886172600792898,11.033860683441162,0.8177690725777098,0.3043489456176758
adult,1,"['num_1', 'cat_4', 'cat_2', 'num_3', 'num_0', 'cat_1', 'num_2', 'cat_3', 'num_5', 'num_4', 'cat_0', 'cat_7']",56.413596630096436,12,0.5886172600792898,11.04595160484314,0.8177690725777098,0.28875160217285156
adult,2,"['num_1', 'cat_4', 'cat_2', 'num_3', 'num_0', 'cat_1', 'num_2', 'cat_3', 'num_5', 'num_6', 'cat_0', 'cat_7']",61.601574659347534,12,0.6393009730560504,2.2977044582366943,0.8088512491439495,0.35036587715148926
adult,3,"['num_1', 'cat_4', 'cat_2', 'num_3', 'num_0', 'cat_1', 'num_2', 'cat_3', 'num_5', 'num_6', 'cat_0', 'cat_7']",66.70744371414185,12,0.6393009730560504,2.1679182052612305,0.8088512491439495,0.31757020950317383
aloi,0,['max'],max,max,0.0,0.0,0.0,0.0
aloi,1,['max'],max,max,0.0,0.0,0.0,0.0
aloi,2,['max'],max,max,0.0,0.0,0.0,0.0
aloi,3,['max'],max,max,0.0,0.0,0.0,0.0
churn,0,"['num_9', 'num_4', 'num_2', 'num_0']",7.056997060775757,4,0.4051528633214777,0.8732905387878418,0.6002371605086332,0.13222813606262207
churn,1,"['num_9', 'num_4', 'num_2', 'num_0']",7.7614569664001465,4,0.4051528633214777,0.8550107479095459,0.6002371605086332,0.12317109107971191
churn,2,"['num_11', 'num_9', 'num_4']",9.57588815689087,3,0.5093804533324611,0.5737526416778564,0.4707304831865675,0.12012672424316406
churn,3,"['num_11', 'num_9', 'num_4', 'num_13']",11.628146409988403,4,0.1832024070101368,0.509502649307251,0.47339678577001093,0.13030290603637695
eye,0,"['num_10', 'num_9', 'num_11', 'num_12', 'num_13', 'num_19', 'num_17', 'num_0', 'num_15']",24.719590425491333,9,0.4072830386371922,0.9945049285888672,0.541370744698103,0.4909985065460205
