dataset,config,mlp_f1,mlp_time,lgbm_f1,lgbm_time
adult,0,0.25551309899017793,10.058289051055908,0.8175929106413491,0.34318065643310547
adult,01,0.25551309899017793,9.301223516464233,0.8175929106413491,0.31421780586242676
adult,02,0.6151105181360582,19.105594396591187,0.8192517895070899,0.41129493713378906
adult,03,0.5556877792931586,14.065174341201782,0.8190130021232833,0.3821995258331299
aloi,0,0.9305493365877124,1338.7407393455505,0.12059532525365715,554.911922454834
aloi,01,0.9308050966066191,1337.4770095348358,0.1614790612334501,564.6317579746246
aloi,02,0.9299076668794237,1356.4664628505707,0.13763805597751042,572.8850462436676
aloi,03,0.9298675065010189,1407.1011817455292,0.14721346986435027,578.573587179184
churn,0,0.501270367463436,1.5539281368255615,0.7361747515754417,0.18099522590637207
churn,01,0.4976634741858513,2.448587417602539,0.7361747515754417,0.15871405601501465
churn,02,0.1694419280626177,0.9581940174102783,0.731713598901099,0.1853938102722168
churn,03,0.5058811127996556,1.4276485443115234,0.7383860185003509,0.18665862083435059
eye,0,0.42161953348465603,3.252357244491577,0.7167416853380422,0.7969975471496582
eye,01,0.408020207876473,4.8110129833221436,0.7080533632132605,0.8035011291503906
eye,02,0.454660776984936,4.479856491088867,0.720758789756989,0.857269287109375
eye,03,0.41434417646405214,1.4367179870605469,0.7005300640801874,0.9265334606170654
gesture,0,0.41073510455189527,10.810250043869019,0.6465343944823977,1.5031635761260986
gesture,01,0.39820888975940594,10.907509326934814,0.6310265715715837,1.6018726825714111
gesture,02,0.4057674304368738,10.941993474960327,0.652548044163447,1.796929121017456
gesture,03,0.40254716013949104,11.367296695709229,0.6494590235670279,2.0262675285339355
helena,0,0.19124090275246988,145.43654775619507,0.019366831039008183,38.476237535476685
helena,01,0.14114891344469432,142.52665734291077,0.01501417103198411,39.25381398200989
helena,02,0.13485084086272908,115.74182271957397,0.028000294557575144,42.106465339660645
helena,03,0.10107046481526259,115.80976057052612,0.004552607353093917,43.920297145843506
higgs-small,0,0.7029268663756808,124.90287160873413,0.72306597961826,0.9427659511566162
higgs-small,01,0.6912633466508128,144.2679922580719,0.7225255618882422,1.0151474475860596
higgs-small,02,0.686809488745648,137.38818550109863,0.7239909742922789,1.0860209465026855
higgs-small,03,0.6925610480484161,157.36690402030945,0.7238248576066577,1.2220580577850342
jannis,0,0.48617120715482065,121.96546006202698,0.5630822855864579,4.427866458892822
jannis,01,0.43814640389718895,39.56499481201172,0.5626805324803874,4.834719181060791
jannis,02,0.4281337020708173,21.394235849380493,0.5598136265954574,5.578929901123047
jannis,03,0.40241208115486027,35.14559197425842,0.5668622275897006,6.20434308052063
otto,0,0.7317370736908213,117.70972800254822,0.7746249920192869,5.482457876205444
otto,01,0.7232579423785948,134.13169384002686,0.7723235939993167,5.615713357925415
otto,02,0.7272359495468844,130.88343286514282,0.7743543736069418,5.736488342285156
otto,03,0.724780001061641,142.65090560913086,0.771494330947319,6.118512392044067
