dataset,config,selected_features,time,mlp_f1,mlp_time,lgbm_f1,lgbm_time
adult,0,"['cat_4', 'num_3', 'num_2', 'cat_2', 'num_4', 'num_0', 'cat_3', 'cat_6', 'num_5', 'cat_0', 'cat_5', 'cat_7', 'num_1']",0.1875383853912353,0.4987587806898427,10.339564561843872,0.8185429456241684,0.30510759353637695
adult,1,"['cat_4', 'num_3', 'num_2', 'cat_2', 'num_4', 'num_0', 'cat_3', 'cat_6', 'num_5', 'cat_0', 'cat_5', 'cat_7', 'num_1']",0.1764042377471923,0.4987587806898427,10.133833408355713,0.8185429456241684,0.31905102729797363
adult,2,"['cat_4', 'num_3', 'num_2', 'cat_2', 'num_4', 'num_0', 'cat_3', 'num_5', 'cat_6', 'cat_0', 'cat_5', 'cat_7', 'num_1']",0.1935174465179443,0.5530238921253713,13.074097633361816,0.8185429456241684,0.32194995880126953
adult,3,"['cat_4', 'num_2', 'num_3', 'cat_2', 'num_4', 'num_0', 'cat_3', 'num_5', 'cat_6', 'cat_0', 'cat_5', 'cat_7', 'num_6', 'num_1']",0.18986177444458,0.6355200992748601,8.012753009796143,0.8178831999399799,0.34008073806762695
aloi,0,"['num_13', 'num_92', 'num_112', 'num_38', 'num_124', 'num_19', 'num_56', 'num_98', 'num_34', 'num_61', 'num_108', 'num_45', 'num_14', 'num_30', 'num_24', 'num_17', 'num_53', 'num_32', 'num_97', 'num_39', 'num_18', 'num_104', 'num_120', 'num_109', 'num_40', 'num_77', 'num_8', 'num_52', 'num_116', 'num_62', 'num_29', 'num_9', 'num_57', 'num_78', 'num_58', 'num_96', 'num_82', 'num_79', 'num_44', 'num_16', 'num_36', 'num_125', 'num_15', 'num_37', 'num_4', 'num_20', 'num_41', 'num_83', 'num_31', 'num_23', 'num_100', 'num_25', 'num_93', 'num_73', 'num_10', 'num_80', 'num_48', 'num_7', 'num_46', 'num_74', 'num_11', 'num_3', 'num_75', 'num_63', 'num_68', 'num_2', 'num_119', 'num_72', 'num_67', 'num_0', 'num_66', 'num_103', 'num_88', 'num_94', 'num_105', 'num_65', 'num_1', 'num_121', 'num_84', 'num_122', 'num_6', 'num_89', 'num_127', 'num_21', 'num_95', 'num_27', 'num_85', 'num_64', 'num_69', 'num_70', 'num_101']",618.3137784004211,0.8926999736716765,1246.7256932258606,0.13832365570297742,502.14563488960266
aloi,1,"['num_13', 'num_136', 'num_124', 'num_92', 'num_112', 'num_56', 'num_38', 'num_108', 'num_140', 'num_19', 'num_98', 'num_17', 'num_14', 'num_30', 'num_45', 'num_61', 'num_134', 'num_24', 'num_34', 'num_104', 'num_53', 'num_120', 'num_40', 'num_109', 'num_32', 'num_132', 'num_18', 'num_97', 'num_77', 'num_8', 'num_116', 'num_9', 'num_29', 'num_52', 'num_141', 'num_39', 'num_58', 'num_79', 'num_78', 'num_44', 'num_16', 'num_96', 'num_15', 'num_57', 'num_4', 'num_37', 'num_82', 'num_62', 'num_133', 'num_20', 'num_36', 'num_25', 'num_125', 'num_100', 'num_31', 'num_3', 'num_73', 'num_10', 'num_83', 'num_135', 'num_11', 'num_23', 'num_119', 'num_74', 'num_63', 'num_93', 'num_75', 'num_72', 'num_41', 'num_7', 'num_68', 'num_46', 'num_2', 'num_0', 'num_66', 'num_88', 'num_80', 'num_117', 'num_105', 'num_103', 'num_67', 'num_65', 'num_84', 'num_122', 'num_1', 'num_89', 'num_21', 'num_27', 'num_127', 'num_121', 'num_64', 'num_94', 'num_91', 'num_95', 'num_6', 'num_70', 'num_69', 'num_85']",718.264919757843,0.89813860160825,1274.9987030029297,0.1391361551441005,511.1691474914551
aloi,2,"['num_136', 'num_13', 'num_92', 'num_38', 'num_144', 'num_112', 'num_155', 'num_124', 'num_56', 'num_108', 'num_19', 'num_158', 'num_140', 'num_98', 'num_151', 'num_154', 'num_17', 'num_61', 'num_34', 'num_45', 'num_153', 'num_24', 'num_30', 'num_14', 'num_109', 'num_53', 'num_18', 'num_32', 'num_132', 'num_156', 'num_134', 'num_77', 'num_39', 'num_97', 'num_104', 'num_52', 'num_120', 'num_8', 'num_40', 'num_9', 'num_116', 'num_141', 'num_146', 'num_125', 'num_78', 'num_79', 'num_96', 'num_58', 'num_57', 'num_16', 'num_152', 'num_159', 'num_37', 'num_15', 'num_4', 'num_82', 'num_133', 'num_20', 'num_29', 'num_62', 'num_121', 'num_31', 'num_73', 'num_25', 'num_3', 'num_83', 'num_135', 'num_100', 'num_36', 'num_10', 'num_93', 'num_23', 'num_11', 'num_63', 'num_119', 'num_7', 'num_74', 'num_2', 'num_75', 'num_0', 'num_68', 'num_72', 'num_147', 'num_41', 'num_88', 'num_130', 'num_44', 'num_105', 'num_46', 'num_65', 'num_80', 'num_103', 'num_66', 'num_67', 'num_1', 'num_21', 'num_127', 'num_89', 'num_84', 'num_129', 'num_70', 'num_101', 'num_95', 'num_94', 'num_91', 'num_122', 'num_111']",854.1455321311951,0.8774439088789804,1309.1473343372345,0.1247583664239089,496.84910130500793
aloi,3,"['num_136', 'num_92', 'num_164', 'num_124', 'num_13', 'num_180', 'num_112', 'num_38', 'num_19', 'num_155', 'num_144', 'num_163', 'num_167', 'num_151', 'num_154', 'num_108', 'num_178', 'num_56', 'num_45', 'num_153', 'num_140', 'num_17', 'num_98', 'num_24', 'num_14', 'num_61', 'num_176', 'num_30', 'num_174', 'num_165', 'num_34', 'num_132', 'num_175', 'num_39', 'num_156', 'num_109', 'num_18', 'num_40', 'num_32', 'num_97', 'num_134', 'num_77', 'num_104', 'num_58', 'num_179', 'num_141', 'num_9', 'num_120', 'num_8', 'num_52', 'num_116', 'num_146', 'num_79', 'num_37', 'num_78', 'num_181', 'num_96', 'num_57', 'num_152', 'num_4', 'num_25', 'num_125', 'num_16', 'num_161', 'num_15', 'num_159', 'num_44', 'num_82', 'num_133', 'num_20', 'num_135', 'num_93', 'num_31', 'num_73', 'num_62', 'num_10', 'num_100', 'num_3', 'num_41', 'num_119', 'num_68', 'num_83', 'num_29', 'num_23', 'num_7', 'num_63', 'num_75', 'num_74', 'num_72', 'num_2', 'num_147', 'num_11', 'num_80', 'num_36', 'num_0', 'num_66', 'num_46', 'num_121', 'num_130', 'num_105', 'num_65', 'num_89', 'num_1', 'num_67', 'num_70', 'num_21', 'num_95', 'num_129', 'num_166', 'num_103', 'num_47', 'num_84', 'num_122', 'num_127', 'num_94', 'num_64', 'num_91', 'num_101', 'num_111', 'num_6', 'num_27', 'num_85', 'num_137', 'num_69', 'num_88']",964.8505067825316,0.9066111473525346,1315.876226425171,0.14201074320219548,530.0041167736053
churn,0,"['num_5', 'num_8', 'num_2', 'cat_0', 'num_4', 'num_1']",0.2287204265594482,0.44984127590001977,0.7730958461761475,0.7306272783887066,0.14499855041503906
churn,1,"['num_5', 'num_8', 'num_2', 'cat_0', 'num_4', 'num_1', 'num_0', 'num_6']",0.1221480369567871,0.4459365037774575,1.945434331893921,0.726917720309129,0.16338706016540527
