,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_bn_mix_on_disbalanced,f1_test_bn_mix_on_population
0,Nearest Neighbors,bank-marketing,100,0.1,0.0,0.28297213622291023,0.625,0.5585224744103249
1,Decision Tree,bank-marketing,100,0.1,0.0,0.3242774566473988,1.0,0.23230156297885382
2,Random Forest,bank-marketing,100,0.1,0.0,0.038700255567725446,1.0,0.2653762098033094
3,Neural Net,bank-marketing,100,0.1,0.0,0.52876280535855,0.17857142857142858,0.6840952994204765
4,AdaBoost,bank-marketing,100,0.1,0.0,0.3242774566473988,1.0,0.3400058021467943
5,Naive Bayes,bank-marketing,100,0.1,0.0,0.5323671497584541,0.25,0.5657086223984142
6,QDA,bank-marketing,100,0.1,0.0,0.0,0.6666666666666666,0.2958161461402475
7,XGB,bank-marketing,100,0.1,0.0,0.09059474412171507,1.0,0.42011834319526625
8,Nearest Neighbors,bank-marketing,100,0.2,0.0,0.4361337898340795,0.6086956521739131,0.48660287081339715
9,Decision Tree,bank-marketing,100,0.2,0.0,0.5647729973853102,1.0,0.5142857142857142
10,Random Forest,bank-marketing,100,0.2,0.0,0.22651222651222652,0.9473684210526315,0.24491074224866896
11,Neural Net,bank-marketing,100,0.2,0.0,0.5867252153352475,0.3333333333333333,0.685405120084455
12,AdaBoost,bank-marketing,100,0.2,0.0,0.5358827911596722,1.0,0.4698089171974522
13,Naive Bayes,bank-marketing,100,0.2,0.0,0.5270437144974067,0.375,0.5544759148232375
14,QDA,bank-marketing,100,0.2,0.0,0.4276206322795341,0.5333333333333333,0.4683131407269338
15,XGB,bank-marketing,100,0.2,0.0,0.6223760092272203,1.0,0.5085787451984635
16,Nearest Neighbors,bank-marketing,100,0.3,0.0,0.26388462718625344,0.6060606060606061,0.5336374002280502
17,Decision Tree,bank-marketing,100,0.3,0.0,0.3418222976796831,0.9090909090909091,0.5429362880886427
18,Random Forest,bank-marketing,100,0.3,0.0,0.21052631578947367,0.8888888888888888,0.44426184606957
19,Neural Net,bank-marketing,100,0.3,0.2,0.6261626162616262,0.40540540540540543,0.677719369187222
20,AdaBoost,bank-marketing,100,0.3,0.6666666666666666,0.4653679653679654,0.896551724137931,0.545013346275176
21,Naive Bayes,bank-marketing,100,0.3,0.2857142857142857,0.5694899391670566,0.5517241379310345,0.5043564849390092
22,QDA,bank-marketing,100,0.3,0.5,0.4612603305785124,0.625,0.5381642512077295
23,XGB,bank-marketing,100,0.3,0.0,0.38420005683432795,1.0,0.5342333654773385
24,Nearest Neighbors,bank-marketing,100,0.4,0.8888888888888888,0.46396633350867966,0.8292682926829268,0.5596550071873503
25,Decision Tree,bank-marketing,100,0.4,0.8888888888888888,0.6067364588074647,0.9523809523809523,0.6282655246252676
26,Random Forest,bank-marketing,100,0.4,0.6,0.38977815220443696,0.9743589743589743,0.5855855855855856
27,Neural Net,bank-marketing,100,0.4,0.5263157894736842,0.636569530424279,0.45454545454545453,0.6791491529741435
28,AdaBoost,bank-marketing,100,0.4,0.7272727272727273,0.6361111111111111,1.0,0.603730140455906
29,Naive Bayes,bank-marketing,100,0.4,0.8,0.5983062485694667,0.7659574468085106,0.6502251769247266
30,QDA,bank-marketing,100,0.4,0.8,0.56,0.7659574468085106,0.6277987142540457
31,XGB,bank-marketing,100,0.4,0.6,0.6116481961801462,1.0,0.6347708894878706
32,Nearest Neighbors,bank-marketing,100,0.5,0.5,0.5449838187702265,0.8070175438596491,0.5801192842942345
33,Decision Tree,bank-marketing,100,0.5,0.4,0.6195161951619517,0.9259259259259259,0.6253894080996885
34,Random Forest,bank-marketing,100,0.5,0.4,0.5971739634005097,0.875,0.6510510510510511
35,Neural Net,bank-marketing,100,0.5,0.125,0.68930256948086,0.5050505050505051,0.6787755620475041
36,AdaBoost,bank-marketing,100,0.5,0.5,0.648508430609598,0.8235294117647058,0.6626360338573156
37,Naive Bayes,bank-marketing,100,0.5,0.6666666666666666,0.6387217264992737,0.7058823529411765,0.6172529313232831
