,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price_above_median
0,2.1827,26,4.521428571428571,0.9214285714285714,305.0,2.1785714285714284,40.05,-122.1,0
1,3.0755,32,4.623067776456599,0.9833531510107016,3868.0,4.599286563614744,32.77,-117.06,0
2,1.8235,40,4.7011494252873565,1.1264367816091954,928.0,3.555555555555556,37.75,-122.16,0
3,1.4625,37,4.247844827586207,1.105603448275862,1673.0,3.605603448275862,33.99,-118.28,0
4,1.9063,13,3.453125,0.984375,286.0,4.46875,33.97,-118.16,0
5,3.875,49,4.933701657458563,0.9779005524861878,468.0,2.585635359116022,37.78,-122.17,0
6,1.5972,34,2.510250569476082,1.020501138952164,1325.0,3.0182232346241458,34.05,-118.29,0
7,1.5294,39,3.6512261580381473,1.1144414168937329,1463.0,3.986376021798365,33.96,-118.29,0
8,2.75,35,5.304909560723514,1.0645994832041343,1193.0,3.082687338501292,35.33,-119.02,0
9,3.6,22,4.851449275362318,0.9094202898550724,820.0,2.971014492753623,36.72,-120.08,0
10,1.3125,37,3.25,0.967391304347826,318.0,3.4565217391304346,34.1,-118.17,0
11,2.2244,24,4.491408934707904,1.0790378006872852,917.0,3.1512027491408934,38.43,-121.83,0
12,3.25,19,5.70945945945946,1.1047297297297298,855.0,2.8885135135135136,37.74,-120.91,0
13,2.5727,27,4.787234042553192,1.059961315280464,1703.0,3.294003868471953,38.25,-121.3,0
14,3.125,19,5.375,1.1607142857142858,150.0,2.6785714285714284,34.12,-116.05,0
15,3.3639,25,6.395348837209302,1.2299741602067182,910.0,2.351421188630491,33.74,-116.41,0
16,2.7961,10,4.352441613588111,1.0042462845010616,1302.0,2.764331210191082,33.2,-117.25,0
17,2.3882,43,3.5902255639097747,1.0676691729323309,585.0,2.199248120300752,37.77,-122.24,0
18,2.75,13,5.275204359673024,1.0463215258855585,1158.0,3.155313351498638,37.32,-120.5,0
19,3.875,19,4.951754385964913,1.131578947368421,900.0,3.947368421052632,34.02,-117.95,0
20,2.4779,21,3.727272727272727,1.1054545454545457,1131.0,2.056363636363636,32.75,-117.23,0
21,3.9032,3,5.863329583802025,1.1929133858267718,4432.0,2.4926884139482564,36.85,-119.74,0
22,3.3984,36,5.739130434782608,1.016304347826087,829.0,2.252717391304348,40.78,-124.15,0
23,2.9737,37,4.58008658008658,0.9696969696969696,588.0,2.5454545454545454,38.53,-121.41,0
24,2.3384,27,3.2289156626506026,1.0100401606425702,2031.0,4.078313253012048,36.77,-121.76,0
25,4.45,10,5.834752981260648,1.071550255536627,1538.0,2.620102214650766,38.41,-121.38,0
26,1.8958,35,5.240663900414938,1.0871369294605808,950.0,3.941908713692946,32.81,-115.38,0
27,3.2875,6,8.00625,1.53125,422.0,2.6375,38.04,-120.3,0
