,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0,0.898987,0.957447,0.068632,0.568283,0.004456,0.456499,0.644737,0
1,0.867616,0.234043,0.033716,0.337102,0.001672,0.329622,0.84693,0
2,0.009159,0.255319,0.059175,0.185808,0.003467,0.422915,0.414912,0
3,0.898987,0.531915,0.087577,0.539572,0.004936,0.637752,0.491667,0
4,0.86828,0.085106,0.027021,0.165129,0.001271,0.265924,0.748246,0
5,0.885403,0.829787,0.033115,0.559209,0.00221,0.534438,0.453509,0
6,0.000752,0.595745,0.044224,0.461321,0.003467,0.422915,0.414912,0
7,0.885182,0.914894,0.029002,0.434246,0.001955,0.394096,0.47807,0
8,0.911553,0.851064,0.042662,0.411782,0.0028,0.432936,0.512719,0
9,0.429671,0.765957,0.077759,0.534514,0.003467,0.422915,0.414912,0
10,0.460112,0.744681,0.02606,0.494198,0.001714,0.320818,0.591667,0
11,0.912261,0.106383,0.044013,0.180155,0.002973,0.283014,0.498246,0
12,0.451529,0.957447,0.03975,0.550729,0.002293,0.400829,0.725877,0
13,0.005309,0.297872,0.079711,0.540315,0.003467,0.422915,0.414912,0
14,0.009911,0.765957,0.041732,0.726272,0.003467,0.422915,0.414912,0
15,0.46936,0.170213,0.02678,0.091937,0.001776,0.178405,0.627193,0
16,0.022211,0.659574,0.062838,0.430675,0.003467,0.422915,0.414912,0
17,0.911641,0.893617,0.042632,0.398542,0.002831,0.381409,0.476316,0
18,0.424494,0.085106,0.055242,0.08435,0.003467,0.422915,0.414912,0
19,0.9158,0.659574,0.053441,0.341119,0.003671,0.308907,0.363596,0
20,0.433653,1.0,0.041431,0.250521,0.003467,0.422915,0.414912,0
21,0.022123,1.0,0.068302,0.333234,0.003467,0.422915,0.414912,0
22,0.880404,0.93617,0.028221,0.465338,0.001911,0.401088,0.621053,0
23,0.880979,0.148936,0.014471,0.127194,0.000929,0.253755,0.778509,0
24,0.885005,1.0,0.070193,0.376525,0.004836,0.422838,0.339035,0
25,0.911862,0.893617,0.043713,0.399137,0.002867,0.3739,0.610526,0
26,0.429848,0.06383,0.049838,0.182832,0.003467,0.422915,0.414912,0
27,0.455599,0.914894,0.03966,0.584052,0.002707,0.502071,0.632018,0
28,0.875979,0.893617,0.028462,0.407766,0.000841,0.340497,0.703509,0
29,0.013141,0.06383,0.041401,0.252752,0.003467,0.422915,0.414912,0
30,0.911951,0.319149,0.055062,0.508777,0.00371,0.584671,0.37807,0
