,lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
0,9684.0,298.0,99.0,119.0,119.0,238.0,300.1666,288.0156,246.0732,56.6326,51.1786,119.0,119.0,0.0,0.0,0.1541,0.4446,0.0176,4,3,0
1,2065.0,66.0,119.0,159.0,239.0,100.0,306.1066,117.2359,321.014,47.3207,47.0425,239.0,119.5,0.0,159.0,0.0119,0.3264,0.0239,8,1,0
2,1969.0,61.0,139.0,139.0,357.0,179.0,590.5294,805.0531,479.3078,112.361,118.6529,536.0,178.6667,258.0,0.0,0.0874,0.0859,0.0431,4,8,0
3,10326.0,315.0,199.0,139.0,219.0,99.0,80.9475,306.5587,153.1698,79.8389,78.5875,198.0,99.0,0.0,396.0,0.0173,0.1453,0.0264,4,2,0
4,6827.0,204.0,80.0,100.0,239.0,139.0,110.7576,161.4845,189.6207,96.7471,102.1225,139.0,139.0,0.0,378.0,0.3229,0.4074,0.0288,2,1,0
5,2793.0,85.0,179.0,259.0,259.0,100.0,173.4416,204.5,29.5466,144.9422,137.0082,259.0,259.0,0.0,0.0,0.0947,0.5542,0.0235,7,3,0
6,9800.0,302.0,199.0,100.0,100.0,99.0,70.8025,245.0862,129.8345,58.1421,55.9151,100.0,100.0,0.0,0.0,0.1085,0.122,0.0202,2,2,0
7,9462.0,293.0,159.0,298.0,298.0,139.0,467.285,208.5402,611.2356,147.5212,124.0423,298.0,298.0,0.0,0.0,0.1261,0.2636,0.0207,7,1,0
8,2828.0,86.0,359.0,239.0,239.0,199.0,103.64,100.3606,151.0033,58.6195,60.8153,239.0,239.0,0.0,717.0,0.8257,0.5067,0.0271,4,3,0
9,8235.0,256.0,239.0,99.0,99.0,99.0,411.2922,169.3259,531.305,121.6737,121.1745,99.0,99.0,0.0,198.0,0.1874,0.3344,0.0085,10,2,0
10,5613.0,167.0,0.0,159.0,915.0,159.0,133.7171,114.2147,138.7083,52.9953,55.0318,219.0,219.0,0.0,716.0,0.0715,0.114,0.0147,1,1,0
11,3127.0,95.0,179.0,558.0,558.0,239.0,309.7773,115.434,292.7695,16.8671,40.9695,558.0,558.0,0.0,0.0,-0.2634,2.0226,0.1015,5,2,0
12,2537.0,78.0,120.0,379.0,379.0,359.0,1600.9859,1098.318,403.1241,1300.849,1266.7849,379.0,379.0,22514.0,817.0,1.1015,0.948,0.0096,10,4,0
13,7817.0,240.0,219.0,179.0,279.0,219.0,333.7911,70.2638,433.1836,113.8036,109.276,279.0,139.5,715.0,916.0,0.0361,0.1181,0.0266,4,1,0
14,10437.0,318.0,99.0,219.0,219.0,119.0,99.2182,0.0,82.7647,27.2259,42.9942,219.0,219.0,0.0,0.0,0.2907,0.2907,0.0467,5,6,0
15,1928.0,61.0,139.0,139.0,357.0,179.0,186.1511,921.2918,161.7931,26.7442,103.0194,357.0,119.0,258.0,0.0,0.0699,0.1229,0.0287,4,8,0
16,10027.0,306.0,80.0,119.0,119.0,179.0,415.0976,407.939,404.0309,13.4629,30.7612,100.0,100.0,0.0,800.0,0.193,0.5105,0.0067,8,5,0
17,10664.0,328.0,99.0,99.0,99.0,179.0,110.911,536.0784,68.4251,50.5594,51.7349,99.0,99.0,0.0,0.0,0.1097,0.1377,0.0098,4,7,0
18,4220.0,134.0,219.0,159.0,438.0,199.0,476.607,115.0848,626.2691,156.9984,138.6001,238.0,238.0,0.0,835.0,0.057,0.029,0.0123,3,1,0
19,6772.0,203.0,80.0,80.0,80.0,179.0,173.954,557.0613,85.0,93.5655,91.0673,80.0,80.0,378.0,0.0,0.0179,0.1124,0.0082,4,6,0
20,10806.0,333.0,179.0,99.0,99.0,219.0,150.4028,394.0381,107.2986,38.7072,44.847,99.0,99.0,0.0,0.0,0.0395,0.082,0.0157,3,5,0
21,2108.0,66.0,179.0,179.0,179.0,139.0,121.1084,98.6927,103.0776,14.7054,20.5973,179.0,179.0,0.0,179.0,0.1649,0.3234,0.0179,5,1,0
22,1926.0,61.0,80.0,179.0,358.0,139.0,108.5564,79.5692,51.4296,66.6652,167.4515,358.0,179.0,0.0,0.0,0.1029,0.0864,0.0288,4,5,0
23,10223.0,311.0,139.0,119.0,238.0,80.0,126.935,180.0062,49.7293,87.8208,67.5296,238.0,119.0,0.0,0.0,0.1117,0.1637,0.0299,5,3,0
24,6218.0,183.0,139.0,139.0,238.0,199.0,333.524,116.0097,249.3933,80.6226,34.6157,238.0,119.0,378.0,0.0,-0.0039,0.1206,0.0229,5,4,0
25,10222.0,311.0,119.0,139.0,139.0,119.0,204.7102,126.935,132.0606,76.3692,82.0,139.0,139.0,0.0,0.0,0.1447,0.1027,0.0175,5,2,0
26,2097.0,66.0,139.0,239.0,239.0,99.0,196.5204,50.324,218.0734,62.8431,63.673,80.0,80.0,299.0,279.0,0.1494,0.1649,0.008,1,1,0
27,9121.0,286.0,80.0,139.0,139.0,159.0,264.5468,398.0028,166.0753,101.6132,95.0842,139.0,139.0,0.0,0.0,0.0532,0.2052,0.0154,7,4,0
28,8560.0,271.0,179.0,119.0,119.0,139.0,327.5336,306.9405,249.3391,80.5062,94.3835,119.0,119.0,0.0,0.0,0.1832,0.3302,0.0211,4,4,0
29,2794.0,85.0,259.0,100.0,100.0,319.0,204.5,560.7069,148.0304,55.5203,62.8828,100.0,100.0,0.0,0.0,0.1722,0.5822,0.0091,7,4,0
30,9965.0,306.0,179.0,80.0,80.0,139.0,159.6598,182.4966,95.0474,60.1041,47.5657,80.0,80.0,0.0,1272.0,0.2,0.3735,0.0054,5,3,0
31,3947.0,127.0,139.0,99.0,99.0,219.0,285.3003,564.6072,257.8565,31.197,35.5106,99.0,99.0,598.0,0.0,0.1311,0.2141,0.0131,4,6,0
32,1031.0,31.0,219.0,80.0,80.0,159.0,142.6482,94.7629,80.05,66.4172,63.2653,80.0,80.0,1372.0,159.0,0.1254,0.1189,0.0069,3,3,0
33,2779.0,85.0,259.0,279.0,279.0,20.0,182.3904,70.0874,226.4906,60.0833,73.6817,279.0,279.0,0.0,0.0,-0.2753,-0.0108,0.0253,3,1,0
34,6049.0,179.0,139.0,258.0,397.0,219.0,358.2304,147.6432,403.2989,56.9956,136.4441,397.0,198.5,0.0,0.0,0.0796,0.0261,0.0425,4,1,0
35,7809.0,240.0,159.0,199.0,199.0,298.0,437.7925,175.309,542.1965,114.0395,114.5044,199.0,199.0,0.0,199.0,0.0246,-0.0044,0.019,6,2,0
36,2087.0,66.0,119.0,159.0,239.0,100.0,874.0631,138.1304,937.0048,67.487,63.8847,159.0,159.0,0.0,159.0,0.1339,0.1859,0.0159,8,1,0
37,7443.0,227.0,656.0,99.0,99.0,80.0,522.0931,193.0317,598.5065,97.3088,98.1147,99.0,99.0,3793.0,0.0,-0.0163,0.0867,0.0094,8,4,0
38,6704.0,200.0,99.0,139.0,338.0,99.0,300.5004,252.3846,313.4358,14.2215,22.4611,338.0,169.0,0.0,676.0,-0.078,0.2751,0.0749,4,3,0
39,4448.0,137.0,119.0,238.0,238.0,219.0,104.0048,163.5619,29.7321,79.6006,92.6984,238.0,238.0,0.0,0.0,-0.0873,0.1432,0.0297,3,3,0
40,4925.0,150.0,139.0,139.0,139.0,179.0,179.5341,80.7233,226.1084,61.7839,57.1686,139.0,139.0,0.0,139.0,0.0781,0.1196,0.0125,5,1,0
41,2640.0,79.0,199.0,319.0,319.0,279.0,556.234,135.0741,611.2454,73.6495,114.2322,319.0,319.0,0.0,578.0,-0.2575,-0.5825,0.0338,4,1,0
42,6617.0,197.0,80.0,99.0,198.0,119.0,728.6323,157.0796,811.6009,80.5047,52.5024,198.0,99.0,0.0,99.0,0.1161,0.1191,0.0372,7,1,0
43,9075.0,285.0,139.0,159.0,159.0,179.0,120.7487,442.0775,161.8919,63.9414,78.1745,159.0,159.0,278.0,0.0,0.1472,0.2822,0.0268,8,3,0
44,6448.0,191.0,199.0,159.0,159.0,139.0,182.0687,195.6074,122.0246,58.6686,65.4599,159.0,159.0,0.0,0.0,0.2484,0.3484,0.034,1,2,0
45,149.0,5.0,179.0,219.0,219.0,239.0,111.5672,172.0356,117.2902,7.6322,2.5495,159.0,159.0,398.0,0.0,0.032,0.0865,0.0142,4,2,0
46,5681.0,168.0,119.0,318.0,318.0,219.0,346.5274,140.322,396.3647,54.6008,58.9788,318.0,318.0,0.0,0.0,0.0835,0.243,0.0305,6,1,0
47,10004.0,306.0,0.0,199.0,199.0,139.0,632.7152,373.5482,673.2674,143.4721,122.4827,278.0,139.0,0.0,2224.0,0.1965,0.143,0.0186,1,1,0
48,3130.0,95.0,558.0,239.0,239.0,179.0,66.7308,53.3877,159.5306,98.0319,96.0534,20.0,20.0,0.0,20.0,1.7801,2.3481,0.0036,6,1,0
49,9358.0,290.0,99.0,80.0,80.0,99.0,296.9621,120.9153,438.8086,159.4153,150.6063,80.0,80.0,0.0,0.0,0.0882,0.2407,0.0116,6,1,0
50,5293.0,159.0,119.0,159.0,159.0,278.0,316.2673,73.3757,295.7364,45.1054,38.7105,159.0,159.0,854.0,99.0,0.0798,0.1393,0.0116,7,6,0
51,2799.0,85.0,100.0,319.0,319.0,219.0,70.0,177.5,105.2093,32.596,24.5204,179.0,179.0,0.0,0.0,0.5542,1.2187,0.0162,8,1,0
52,3905.0,125.0,139.0,199.0,199.0,179.0,120.8356,209.1531,48.2701,83.2902,76.787,159.0,159.0,338.0,358.0,0.1563,0.1753,0.0249,5,6,0
53,9451.0,293.0,298.0,179.0,179.0,99.0,124.6445,510.6332,162.0031,33.2453,35.171,179.0,179.0,0.0,1074.0,0.1456,0.1271,0.0124,2,4,0
54,9501.0,293.0,80.0,298.0,298.0,119.0,96.9239,86.9253,139.5421,39.9531,41.0122,99.0,99.0,8147.0,495.0,0.0471,0.1086,0.0069,3,3,0
55,9406.0,291.0,159.0,99.0,99.0,139.0,90.4268,68.8368,191.6507,116.5268,122.173,99.0,99.0,0.0,139.0,0.2232,0.2812,0.0155,8,1,0
56,10274.0,312.0,278.0,179.0,179.0,159.0,291.689,904.1507,147.8716,143.3571,157.4817,179.0,179.0,397.0,0.0,0.3023,0.1168,0.0259,10,5,0
57,2268.0,73.0,20.0,379.0,379.0,180.0,59.1354,94.4312,104.2017,54.8179,76.1528,379.0,379.0,897.0,1056.0,1.1122,1.5602,0.0234,2,1,0
58,2280.0,73.0,777.0,279.0,279.0,638.0,65.5534,146.1617,39.8121,60.4669,60.2516,279.0,279.0,2212.0,0.0,0.6492,1.4382,0.0172,4,2,0
