,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_smote_on_disbalanced,f1_test_smote_on_population
0,Nearest Neighbors,bank-marketing,100,0.2,0.0,0.19489120151371808,0.6206896551724138,0.5341139383021842
1,Decision Tree,bank-marketing,100,0.2,0.0,0.32845894263217096,0.9090909090909091,0.3863517060367454
2,Random Forest,bank-marketing,100,0.2,0.5,0.17496635262449528,0.9523809523809523,0.41327800829875516
3,Neural Net,bank-marketing,100,0.2,0.3333333333333333,0.2641904263667277,0.1568627450980392,0.6133625410733844
4,AdaBoost,bank-marketing,100,0.2,0.8,0.2685099846390169,1.0,0.46835767358442226
5,Naive Bayes,bank-marketing,100,0.2,0.4,0.32932198415027886,0.6666666666666666,0.48389551103220896
6,QDA,bank-marketing,100,0.2,0.0,0.0,0.8181818181818182,0.23979912115505336
7,XGB,bank-marketing,100,0.2,0.5,0.2487468671679198,1.0,0.4120684968741506
8,Nearest Neighbors,bank-marketing,100,0.4,0.0,0.4057441253263708,0.76,0.6695009242144178
9,Decision Tree,bank-marketing,100,0.4,0.0,0.5975212002609263,0.9047619047619048,0.6256576284904897
10,Random Forest,bank-marketing,100,0.4,0.4444444444444444,0.5124450951683748,0.8695652173913043,0.6784931233805063
11,Neural Net,bank-marketing,100,0.4,0.4444444444444444,0.6822111605973278,0.45454545454545453,0.6818530842078321
12,AdaBoost,bank-marketing,100,0.4,0.0,0.5697538100820633,0.9090909090909091,0.6732053422370617
13,Naive Bayes,bank-marketing,100,0.4,0.3333333333333333,0.643597181931206,0.6111111111111112,0.6744233517044295
14,QDA,bank-marketing,100,0.4,0.6666666666666666,0.519226287578653,0.4827586206896552,0.502491103202847
15,XGB,bank-marketing,100,0.4,0.0,0.5557412270231559,1.0,0.6756925640491565
16,Nearest Neighbors,bank-marketing,100,0.6,0.7272727272727273,0.6149732620320856,0.8571428571428571,0.657753017641597
17,Decision Tree,bank-marketing,100,0.6,0.5454545454545454,0.592749629001484,0.8615384615384616,0.6729208010102833
18,Random Forest,bank-marketing,100,0.6,0.8333333333333334,0.647121763321207,0.8709677419354839,0.7369162995594714
19,Neural Net,bank-marketing,100,0.6,0.5263157894736842,0.6579471140176286,0.5714285714285714,0.6819403558172277
20,AdaBoost,bank-marketing,100,0.6,0.5454545454545454,0.69021113243762,0.8813559322033898,0.7329916946456971
21,Naive Bayes,bank-marketing,100,0.6,0.9090909090909091,0.702284011916584,0.7407407407407407,0.7151984511132623
22,QDA,bank-marketing,100,0.6,0.9090909090909091,0.6910112359550562,0.7547169811320755,0.7033914918643404
23,XGB,bank-marketing,100,0.6,0.6666666666666666,0.6717557251908397,1.0,0.7054034048852702
24,Nearest Neighbors,bank-marketing,100,0.8,0.625,0.6212522945135631,0.7727272727272727,0.6671652954375468
25,Decision Tree,bank-marketing,100,0.8,0.625,0.6641936743459587,0.9024390243902439,0.7040089921318846
26,Random Forest,bank-marketing,100,0.8,0.6666666666666666,0.6407247271978588,0.8780487804878049,0.7381397086290624
27,Neural Net,bank-marketing,100,0.8,0.64,0.6806069106209358,0.6129032258064516,0.6809493264913407
28,AdaBoost,bank-marketing,100,0.8,0.625,0.7242233657327997,0.9,0.7191139965629177
29,Naive Bayes,bank-marketing,100,0.8,0.7142857142857143,0.6234402852049911,0.6567164179104478,0.6474289433716641
30,QDA,bank-marketing,100,0.8,0.5454545454545454,0.6108897742363878,0.7246376811594203,0.6334285086755985
31,XGB,bank-marketing,100,0.8,0.6666666666666666,0.7147753236862148,1.0,0.7461294534601753
32,Nearest Neighbors,bank-marketing,100,1.0,0.6666666666666666,0.6565327542526239,0.82,0.6750665483584738
33,Decision Tree,bank-marketing,100,1.0,0.5714285714285714,0.664561957379637,0.8785046728971962,0.7116644823066841
34,Random Forest,bank-marketing,100,1.0,0.5882352941176471,0.7473090722706305,0.8979591836734694,0.7441693577323286
35,Neural Net,bank-marketing,100,1.0,0.7407407407407407,0.6836682122617208,0.704225352112676,0.682876624212016
36,AdaBoost,bank-marketing,100,1.0,0.5263157894736842,0.7371752165223184,0.8932038834951457,0.7497850386930353
37,Naive Bayes,bank-marketing,100,1.0,0.46153846153846156,0.7219145569620253,0.6896551724137931,0.7145116646896006
38,QDA,bank-marketing,100,1.0,0.5333333333333333,0.7188940092165899,0.7252747252747253,0.7195216049382716
