,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_ctgan_on_disbalanced,f1_test_ctgan_on_population
0,Nearest Neighbors,bank-marketing,100,0.2,0.0,0.3841394825646794,0.14285714285714285,0.15252558600198085
1,Decision Tree,bank-marketing,100,0.2,0.0,0.5538601685265315,0.0,0.0037230081906180195
2,Random Forest,bank-marketing,100,0.2,0.4,0.33664523670368207,0.0,0.0
3,Neural Net,bank-marketing,100,0.2,0.3333333333333333,0.443500424808836,0.43478260869565216,0.5739576054041463
4,AdaBoost,bank-marketing,100,0.2,0.4,0.5018578152093138,0.0,0.0
5,Naive Bayes,bank-marketing,100,0.2,0.3333333333333333,0.6443353957755494,0.0,0.0658554044380816
6,QDA,bank-marketing,100,0.2,0.0,0.21327319587628865,0.0,0.07957371225577264
7,XGB,bank-marketing,100,0.2,0.4,0.5912129894937918,0.18181818181818182,0.049168474331164135
8,Nearest Neighbors,bank-marketing,100,0.4,0.2857142857142857,0.4429735234215886,0.2777777777777778,0.35320984521695004
9,Decision Tree,bank-marketing,100,0.4,0.4,0.5538095238095239,0.0,0.021347073978652927
10,Random Forest,bank-marketing,100,0.4,0.3333333333333333,0.3037593984962406,0.0,0.0007457121551081282
11,Neural Net,bank-marketing,100,0.4,0.5333333333333333,0.6317567567567568,0.44,0.548723897911833
12,AdaBoost,bank-marketing,100,0.4,0.4,0.49948927477017363,0.0,0.0
13,Naive Bayes,bank-marketing,100,0.4,0.4,0.5519526627218935,0.16666666666666666,0.19152276295133439
14,QDA,bank-marketing,100,0.4,0.2857142857142857,0.5462454212454212,0.16666666666666666,0.18684461391801716
15,XGB,bank-marketing,100,0.4,0.0,0.4517497348886532,0.0,0.11716898069759567
16,Nearest Neighbors,bank-marketing,100,0.6,0.0,0.5801174496644296,0.3235294117647059,0.42231075697211157
17,Decision Tree,bank-marketing,100,0.6,0.4444444444444444,0.6617835561252517,0.35,0.1583635763774332
18,Random Forest,bank-marketing,100,0.6,0.3333333333333333,0.5736334405144694,0.0625,0.06040992448759439
19,Neural Net,bank-marketing,100,0.6,0.2222222222222222,0.6727145847871598,0.5060240963855421,0.609953504391252
20,AdaBoost,bank-marketing,100,0.6,0.0,0.6337416041090478,0.0625,0.02500919455682236
21,Naive Bayes,bank-marketing,100,0.6,0.3333333333333333,0.5320128972823583,0.32558139534883723,0.2305564094681832
22,QDA,bank-marketing,100,0.6,0.4,0.5326039387308534,0.32558139534883723,0.28410053657158996
23,XGB,bank-marketing,100,0.6,0.0,0.6455672068636797,0.4,0.33487179487179486
24,Nearest Neighbors,bank-marketing,100,0.8,0.6153846153846154,0.614387031408308,0.379746835443038,0.4567317574511819
25,Decision Tree,bank-marketing,100,0.8,0.5333333333333333,0.6501498501498502,0.047619047619047616,0.05977673748649622
26,Random Forest,bank-marketing,100,0.8,0.6666666666666666,0.7247104247104247,0.08888888888888889,0.1488277268093782
27,Neural Net,bank-marketing,100,0.8,0.5833333333333334,0.6806026876611918,0.16666666666666666,0.10978835978835978
28,AdaBoost,bank-marketing,100,0.8,0.625,0.7256536566881394,0.09523809523809523,0.2177182085648905
29,Naive Bayes,bank-marketing,100,0.8,0.5714285714285714,0.6830313656730956,0.2692307692307692,0.28244746600741655
30,QDA,bank-marketing,100,0.8,0.5714285714285714,0.6412010642341315,0.125,0.2787240631774543
31,XGB,bank-marketing,100,0.8,0.5714285714285714,0.6884374406683121,0.28169014084507044,0.34904013961605584
32,Nearest Neighbors,bank-marketing,100,1.0,0.5263157894736842,0.6439591264275696,0.5964912280701754,0.5084238113066267
33,Decision Tree,bank-marketing,100,1.0,0.5263157894736842,0.5816696914700544,0.5945945945945946,0.5834018077239113
