,fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
0,69.2979,26.8809,3.193,0.2065,0.1074,39.6296,44.3457,-23.0604,9.3234,248.75,0
1,24.5939,10.1418,2.5676,0.5007,0.2693,-8.4503,15.2452,-7.0283,17.0056,173.288,0
2,55.48,27.1606,3.1826,0.2299,0.1225,43.1016,54.2556,13.7406,32.222,262.181,0
3,12.6594,11.7413,2.1351,0.7033,0.3846,-15.8596,9.4522,-8.7126,43.5434,227.711,0
4,38.6204,20.5632,2.977,0.2478,0.127,-13.8229,-31.3983,-13.1337,5.8671,192.467,0
5,18.2548,10.5312,2.233,0.5789,0.3012,-1.6564,7.839,-5.5313,0.535,76.4374,0
6,101.886,59.174,4.2409,0.0884,0.0459,71.7493,75.7796,-44.7951,3.4479,328.333,0
7,20.6036,7.2364,2.0394,0.7032,0.3699,1.0823,-7.7699,5.8712,75.0703,99.2704,0
8,44.5949,21.9905,2.9511,0.2306,0.1304,39.0795,-24.1922,-12.5102,2.6322,221.704,0
9,42.9795,15.9668,2.6253,0.2607,0.1363,9.7417,29.9491,6.8072,10.603,185.708,0
10,75.8366,32.0853,3.4842,0.1627,0.0874,-67.3406,46.6759,-20.8778,0.2581,293.28,0
11,37.6959,25.0618,3.4728,0.2027,0.1072,21.7039,28.2392,5.0767,5.0315,139.49,0
12,32.0521,22.1564,2.6325,0.4033,0.2622,-27.7357,17.8166,-16.0911,70.3212,6.6852,0
13,77.7161,30.1417,3.8886,0.1406,0.0711,44.8366,63.5847,-23.6233,1.0204,261.15,0
14,21.6421,9.9561,2.2122,0.6258,0.3466,21.8239,18.7207,11.2487,45.9906,127.847,0
15,34.092,11.0162,2.6781,0.4323,0.2403,27.7823,17.0989,11.865,1.517,207.855,0
16,19.1023,15.2928,2.4914,0.4774,0.2952,-3.7103,10.762,-8.7623,55.833,105.548,0
17,31.0653,17.5793,2.6138,0.3577,0.1837,8.5864,-26.0578,-11.8097,58.3585,200.181,0
18,36.5911,22.5984,2.5838,0.399,0.2282,-55.1437,30.195,-10.4971,9.497,125.626,0
19,24.2724,14.5245,2.5533,0.4028,0.2308,5.8387,16.0185,1.4225,13.207,137.836,0
20,70.7565,39.4608,3.3164,0.1525,0.0895,-56.4029,43.7692,-35.609,7.797,287.001,0
21,15.0229,12.2192,2.3201,0.6651,0.3517,0.6888,0.3851,5.0592,46.146,227.002,0
22,112.009,49.9894,4.3177,0.0718,0.0387,-66.0778,86.8751,25.9309,2.6087,295.838,0
23,32.9078,11.7753,2.5185,0.4273,0.253,-1.7654,14.3055,11.1339,6.8937,106.009,0
24,19.6098,10.781,2.3243,0.6303,0.3531,-7.1604,16.9706,7.8383,5.895,122.995,0
25,19.1548,9.8675,2.29,0.5795,0.3051,-0.1476,3.7763,-5.5089,38.6221,99.682,0
26,18.648,10.2825,2.42,0.5856,0.2985,24.0201,8.9539,5.2148,49.141,198.23,0
27,12.8789,11.4348,2.1658,0.7372,0.372,15.0295,-3.4,11.7179,9.2006,182.865,0
28,40.1473,31.097,2.9432,0.2063,0.1316,15.6271,15.3918,-13.4111,25.601,104.575,0
29,16.871,11.0212,2.5198,0.6284,0.3157,21.3773,9.6349,6.0657,5.8091,203.685,0
30,27.6058,6.9573,2.2648,0.5598,0.3125,9.1924,14.8442,-2.4271,13.386,203.443,0
31,32.9178,18.5352,2.9251,0.3125,0.1729,-10.6214,-25.9902,7.8666,7.387,229.296,0
32,38.7378,16.5018,2.7551,0.42,0.2118,19.2488,32.5873,-6.4778,7.3257,152.567,0
33,32.7548,20.0059,2.8558,0.3331,0.1735,4.8915,-31.9813,-11.4819,2.2496,221.213,0
34,13.1537,10.0472,2.2082,0.805,0.5232,-12.3119,-7.723,10.368,26.736,156.728,0
35,20.8484,12.248,2.437,0.5082,0.2797,-26.4809,-10.5577,-9.4669,68.6674,100.45,0
36,70.8301,24.4164,2.8899,0.2668,0.1643,-61.1017,61.0348,-14.1305,5.7941,276.347,0
37,38.2274,28.4006,3.4285,0.2248,0.1333,22.1812,-9.7717,18.3274,45.8891,79.0123,0
38,39.8121,18.1076,2.8896,0.2682,0.1412,2.5932,33.9114,6.4012,10.575,236.327,0
39,12.6464,11.7724,2.0473,0.7085,0.3722,15.66,-8.1029,10.8151,9.0054,194.609,0
40,13.1787,10.8308,2.2082,0.774,0.4241,14.4768,-2.7238,-11.6297,27.106,197.264,0
41,23.3353,20.2994,2.6721,0.3298,0.1755,-19.4629,-17.4883,7.5957,29.1324,184.927,0
42,19.8183,7.3691,2.1569,0.7387,0.4146,1.892,-8.4532,5.0759,17.8692,249.918,0
43,33.603,23.2454,2.7308,0.2342,0.118,-33.4196,6.4897,-16.4889,1.3108,97.2798,0
44,36.8172,15.698,2.6123,0.3126,0.1746,27.1143,19.0649,9.4098,22.259,182.55,0
45,63.7733,27.8348,3.6693,0.1537,0.0778,25.2265,56.9755,-6.3598,0.9347,189.7,0
46,32.7808,11.7439,2.4814,0.4422,0.2558,-16.0677,-6.0232,-5.3045,12.7713,167.346,0
