,V1,V6,V10,V12,V13,V14,V15,Class
0,52,51.0,14,935.0,2,-1.0,0,0
1,53,232.0,29,32.0,1,-1.0,0,0
2,50,525.0,18,177.0,2,-1.0,0,0
3,32,648.0,21,166.0,1,-1.0,0,0
4,58,2348.0,9,226.0,1,-1.0,0,0
5,37,1731.0,29,148.0,4,-1.0,0,0
6,65,2352.0,8,354.0,3,188.0,13,0
7,54,5210.0,30,123.0,4,-1.0,0,0
8,51,-1136.0,25,155.0,1,-1.0,0,0
9,28,511.0,15,274.0,1,319.0,5,0
10,39,3663.0,11,230.0,3,-1.0,0,0
11,58,-205.0,3,497.0,2,-1.0,0,0
12,51,1126.0,17,326.0,3,-1.0,0,0
13,46,-880.0,12,185.0,2,-1.0,0,0
14,59,-313.0,20,407.0,1,-1.0,0,0
15,34,1637.0,21,107.0,4,-1.0,0,0
16,26,-378.0,8,165.0,1,-1.0,0,0
17,55,9774.0,20,227.0,1,-1.0,0,0
18,37,14.0,5,22.0,1,-1.0,0,0
19,45,46.0,5,234.0,1,-1.0,0,0
20,35,2823.0,2,229.0,1,-1.0,0,0
21,60,2389.0,4,287.0,1,-1.0,0,0
22,42,1323.0,19,19.0,1,-1.0,0,0
23,55,33.0,30,246.0,3,-1.0,0,0
24,36,9.0,7,473.0,2,-1.0,0,0
25,26,3825.0,13,107.0,1,-1.0,0,0
26,44,0.0,11,78.0,2,264.0,3,0
27,40,275.0,13,409.0,4,-1.0,0,0
28,37,1.0,6,44.0,2,-1.0,0,0
29,48,295.0,17,123.0,1,164.0,2,0
30,22,1161.0,16,119.0,1,-1.0,0,0
31,39,-146.0,20,239.0,2,-1.0,0,0
32,41,0.0,6,184.0,2,323.0,1,0
33,33,381.0,7,1957.0,1,-1.0,0,0
34,27,811.0,28,591.0,2,-1.0,0,0
35,49,933.0,29,92.0,33,-1.0,0,0
36,42,1823.0,13,31.0,1,-1.0,0,0
37,44,597.0,7,137.0,2,-1.0,0,0
38,37,41.0,14,388.0,3,-1.0,0,0
39,39,345.0,29,110.0,3,-1.0,0,0
40,46,0.0,6,322.0,5,-1.0,0,0
41,57,0.0,14,360.0,2,-1.0,0,0
42,34,510.0,27,33.0,7,-1.0,0,0
43,33,1072.0,29,144.0,2,-1.0,0,0
44,60,1626.0,27,395.0,2,-1.0,0,0
45,36,722.0,29,103.0,7,-1.0,0,0
46,54,466.0,4,297.0,1,-1.0,0,0
47,36,82.0,29,45.0,4,-1.0,0,0
48,56,705.0,19,164.0,2,-1.0,0,0
49,40,0.0,28,147.0,2,-1.0,0,0
50,39,94.0,6,181.0,2,-1.0,0,0
51,41,294.0,28,150.0,14,-1.0,0,0
52,34,260.0,22,142.0,2,-1.0,0,0
53,38,137.0,10,624.0,1,-1.0,0,0
